"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06","1,352.74","1,296.71","1,361.48","1,277.31","4.51M","4.23%"
"Jul 06","1,297.82","1,294.57","1,316.12","1,231.05","3.76M","0.21%"
"Jun 06","1,295.15","1,308.44","1,319.05","1,192.09","4.46M","-1.71%"
"May 06","1,317.70","1,419.64","1,464.70","1,295.47","5.30M","-7.19%"
"Apr 06","1,419.73","1,362.35","1,458.67","1,361.14","6.89M","4.42%"
"Mar 06","1,359.60","1,377.46","1,379.30","1,296.78","7.13M","-0.87%"
"Feb 06","1,371.59","1,390.43","1,398.19","1,299.73","7.21M","-2.02%"
"Jan 06","1,399.83","1,383.32","1,426.21","1,285.63","10.21M","1.48%"
"Dec 05","1,379.37","1,295.56","1,383.14","1,288.98","10.33M","6.31%"
"Nov 05","1,297.44","1,165.77","1,300.88","1,165.31","10.32M","12.03%"
"Oct 05","1,158.11","1,228.03","1,246.41","1,137.23","9.70M","-5.15%"
"Sep 05","1,221.01","1,093.47","1,238.72","1,092.14","9.19M","12.71%"
"Aug 05","1,083.33","1,113.90","1,137.46","1,055.54","9.67M","-2.52%"
"Jul 05","1,111.29","1,003.56","1,113.43","1,002.38","13.62M","10.23%"
"Jun 05","1,008.16","964.08","1,010.91","963.78","8.52M","3.91%"
"May 05","970.21","916.48","972.17","910.72","6.67M","6.46%"
"Apr 05","911.30","963.78","996.90","902.88","8.54M","-5.63%"
"Mar 05","965.68","1,015.16","1,025.08","946.41","13.03M","-4.52%"
"Feb 05","1,011.36","930.16","1,011.65","918.44","8.56M","8.43%"
"Jan 05","932.70","896.00","934.10","866.17","8.29M","4.11%"
"Dec 04","895.92","874.47","896.10","838.10","6.71M","2.03%"
"Nov 04","878.06","832.52","891.71","831.32","6.40M","5.18%"
"Oct 04","834.84","835.50","896.24","801.01","6.81M","-0.03%"
"Sep 04","835.09","803.51","863.19","801.58","7.21M","3.92%"
"Aug 04","803.57","730.61","815.05","713.99","6.94M","9.28%"
"Jul 04","735.34","784.85","792.77","717.77","7.89M","-6.42%"
"Jun 04","785.79","807.55","820.87","729.06","8.42M","-2.25%"
"May 04","803.84","863.03","876.30","716.95","6.75M","-6.84%"
"Apr 04","862.84","878.78","939.52","854.39","8.78M","-2.01%"
"Mar 04","880.50","892.57","910.67","822.05","9.65M","-0.33%"
"Feb 04","883.42","850.28","890.51","834.70","9.66M","4.12%"
"Jan 04","848.50","816.26","873.61","813.63","7.63M","4.66%"
"Dec 03","810.71","796.36","824.26","774.04","9.18M","1.82%"
"Nov 03","796.18","783.08","818.34","752.14","11.21M","1.77%"
"Oct 03","782.36","690.47","793.35","688.62","10.16M","12.16%"
"Sep 03","697.52","763.22","775.88","688.07","8.05M","-8.16%"
"Aug 03","759.47","718.84","765.27","693.70","9.22M","6.44%"
"Jul 03","713.52","666.45","724.53","663.35","12.01M","6.51%"
"Jun 03","669.93","643.93","690.70","632.47","9.80M","5.76%"
"May 03","633.42","600.47","637.19","582.87","9.59M","5.68%"
"Apr 03","599.35","529.07","627.50","525.51","15.51M","11.88%"
"Mar 03","535.70","578.50","590.55","512.30","14.94M","-6.90%"
"Feb 03","575.43","591.88","619.45","561.69","11.62M","-2.78%"
